eoname,schoolname
Калуська загальноосвітня школа І-ІІІ ступенів №7 Калуської міської ради Івано-Франківської області,Калуська загальноосвітня школа І-ІІІ ступенів №7 Калуської міської ради Івано-Франківської області
Стецівський ліцей Снятинської районної ради Івано-Франківської області,Стецівський ліцей Снятинської районної ради Івано-Франківської області
Івано-Франківський природничо-математичний ліцей Івано-Франківської міської ради Івано-Франківської області,Івано-Франківський природничо-математичний ліцей Івано-Франківської міської ради Івано-Франківської області
Пасічнянський ліцей Надвірнянської районної ради Івано-Франківської області,Пасічнянський ліцей Надвірнянської районної ради Івано-Франківської області
Снятинський ліцей імені Василя Стефаника Снятинської районної ради Івано-Франківської області,Снятинський ліцей імені Василя Стефаника Снятинської районної ради Івано-Франківської області
Перегінська загальноосвітня школа І-ІІІ ступенів №2 Рожнятівської районної ради Івано-Франківської області,Перегінська загальноосвітня школа І-ІІІ ступенів №2 Рожнятівської районної ради Івано-Франківської області
Микуличинська загальноосвітня школа І-ІІІ ступенів Яремчанської міської ради Івано-Франківської області,Микуличинська загальноосвітня школа І-ІІІ ступенів Яремчанської міської ради Івано-Франківської області
Кутський ліцей Косівської районної ради Івано-Франківської області,Кутський ліцей Косівської районної ради Івано-Франківської області
Новицький ліцей Новицької сільської ради об'єднаної територіальної громади Калуського району Івано-Франківської області,Новицький ліцей Новицької сільської ради об'єднаної територіальної громади Калуського району Івано-Франківської області
Залуквянська загальноосвітня школа І-ІІІ ступенів імені Іванни Блажкевич Галицької районної ради Івано-Франківської області,Залуквянська загальноосвітня школа І-ІІІ ступенів імені Іванни Блажкевич Галицької районної ради Івано-Франківської області
Яблунська загальноосвітня школа І-ІІІ ступенів Богородчанської районної ради Івано-Франківської області,Яблунська загальноосвітня школа І-ІІІ ступенів Богородчанської районної ради Івано-Франківської області
Підліський ліцей Загвіздянської сільської ради об'єднаної територіальної громади Тисменицького району Івано-Франківської області,Підліський ліцей Загвіздянської сільської ради об'єднаної територіальної громади Тисменицького району Івано-Франківської області
Коломийський ліцей №5 імені Т.Г.Шевченка Коломийської міської ради Івано-Франківської області,Коломийський ліцей №5 імені Т.Г.Шевченка Коломийської міської ради Івано-Франківської області
Марківська загальноосвітня школа І-ІІІ ступенів Богородчанської районної ради Івано-Франківської області,Марківська загальноосвітня школа І-ІІІ ступенів Богородчанської районної ради Івано-Франківської області
Ліцей №22 Івано-Франківської міської ради,Ліцей №22 Івано-Франківської міської ради
Великоключівський ліцей Нижньовербізької сільської ради об'єднаної територіальної громади Івано-Франківської області,Великоключівський ліцей Нижньовербізької сільської ради об'єднаної територіальної громади Івано-Франківської області
Коломийський ліцей №2 Коломийської міської ради Івано-Франківської області,Коломийський ліцей №2 Коломийської міської ради Івано-Франківської області
Черніївський ліцей Івано-Франківської міської ради,Черніївський ліцей Івано-Франківської міської ради
Бурштинська гімназія Бурштинської міської ради Івано-Франківської області,Бурштинська гімназія Бурштинської міської ради Івано-Франківської області
Вільшаницька загальноосвітня школа І-ІІІ ступенів Тисменицької районної ради Івано-Франківської області,Вільшаницька загальноосвітня школа І-ІІІ ступенів Тисменицької районної ради Івано-Франківської області
Обертинський ліцей Тлумацької районної ради Івано-Франківської області,Обертинський ліцей Тлумацької районної ради Івано-Франківської області
Нижньострутинська загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області,Нижньострутинська загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області
Старокосівський ліцей Косівської районної ради Івано-Франківської області,Старокосівський ліцей Косівської районної ради Івано-Франківської області
Пійлівська ЗОШ І-ІІІ ступенів Калуської районної ради Івано-Франківської області,Пійлівська ЗОШ І-ІІІ ступенів Калуської районної ради Івано-Франківської області
Ліцей №20 Івано-Франківської міської ради,Ліцей №20 Івано-Франківської міської ради
Верховинська загальноосвітня школа І-ІІІ ступенів Верховинської районної ради Івано-Франківської області,Верховинська загальноосвітня школа І-ІІІ ступенів Верховинської районної ради Івано-Франківської області
Олешанський ліцей Олешанської сільської ради об'єднаної територіальної громади Тлумацького району Івано-Франківської області,Олешанський ліцей Олешанської сільської ради об'єднаної територіальної громади Тлумацького району Івано-Франківської області
