New,Old,areaname,regname,year
с.Азовське,с.Луначарське,Бердянський район,Запорізька область,2016
с.Армашівка,с.Орджонікідзе,Ширяївський район,Одеська область,2016
с.Високе,с.Артемівка,Кегичівський район,Харківська область,2016
с.Вишневе,с.Жовтневе,Калинівський район,Вінницька область,2016
с.Єрмішкове,с.Дзержинське,Великомихайлівський район,Одеська область,2016
с.Зарічне,с.Жовтневе,Глобинський район,Полтавська область,2016
с.Златопілля,с.Свердлове,Бобринецький район,Кіровоградська область,2016
с.Іванівське,с.Октябрське,Красноградський район,Харківська область,2016
с.Іверське,с.Дзержинівка,Солонянський район,Дніпропетровська область,2016
с.Ілічанка,с.Іллічівка,Лиманський район,Одеська область,2016
с.Курісове,с.Петрівка,Лиманський район,Одеська область,2016
с-ще Малокалинове,с-ще Радгоспний,Сорокинський район,Луганська область,2016
с.Матильдівка,с.Жовтневе,Тарутинський район,Одеська область,2016
с.Ніжинське,с.Григоро-Іванівка,Ніжинський район,Чернігівська область,2016
с.Олександрівське,с.Октябрське,Бойківський район,Донецька область,2016
с.Приміське,с.Менжинське,Нікопольський район,Дніпропетровська область,2016
с.Сонячне,с.Жовтень,Очаківський район,Миколаївська область,2016
с-ще Хрестівка,с-ще Незаможник,Городищенський район,Черкаська область,2016
с.Агаймани,с.Фрунзе,Іванівський район,Херсонська область,2016
с.Азов,с.Дзержинське,Новоазовський район,Донецька область,2016
с.Азовське,с.Фрунзе,Генічеський район,Херсонська область,2016
с.Андріївка,с.Розівка,Сватівський район,Луганська область,2016
с.Антішки,с.Горького,Срібнянський район,Чернігівська область,2016
с.Апрелівське,с.Володимиро-Іллінка,Бобринецький район,Кіровоградська область,2016
с.Жереб'яче,с.Артема,м.Хрустальний,Луганська область,2016
с.Бабакове,с.Петрівське,Васильківський район,Дніпропетровська область,2016
с.Багате,с.Мопрівське,Солонянський район,Дніпропетровська область,2016
с.Базилівка,с.Крупське,Конотопський район,Сумська область,2016
с.Байдаківка,с.Холодіївка,П'ятихатський район,Дніпропетровська область,2016
с.Бакумівка,с.Червоноармійське,Баришівський район,Київська область,2016
с.Балинівка,с.Петрівське,Дунаєвецький район,Хмельницька область,2016
с-ще Балка,с-ще Червоний Жовтень,м.Сніжне,Донецька область,2016
с.Батюшки,с.Інтернаціональне,Близнюківський район,Харківська область,2016
м.Бахмут,м.Артемівськ,м.Бахмут,Донецька область,2016
с.Бекетівка,с.Колгоспне,Нікопольський район,Дніпропетровська область,2016
с.Бережани,с.Комунарівка,Калинівський район,Вінницька область,2016
с.Бережне,с.Десятиріччя Жовтня,Більмацький район,Запорізька область,2016
с.Березове,с.Дзержинське,Міловський район,Луганська область,2016
с.Березовий Гай,с.Червоний Гай,Семенівський район,Чернігівська область,2016
с.Берлядка,с.Петрівка,Мурованокуриловецький район,Вінницька область,2016
с-ще Бетманове,с-ще Красний Партизан,Ясинуватський район,Донецька область,2016
с.Билка,с.Червоне,Коропський район,Чернігівська область,2016
с.Бихольцохівка,с.Бихальцохівка,Ріпкинський район,Чернігівська область,2016
с.Білозірка,с.Бармашове,Вітовський район,Миколаївська область,2016
с.Білоконівка,с.Калініне,Кобеляцький район,Полтавська область,2016
с.Білокриничне,с.Калініне,Бойківський район,Донецька область,2016
с.Білошиці,с.Щорсівка,Коростенський район,Житомирська область,2016
смт Більмак,смт Куйбишеве,Більмацький район,Запорізька область,2016
с.Біляківка,с.Краснознам'янка,Межівський район,Дніпропетровська область,2016
с.Біологічне,с.Падалки,Полтавський район,Полтавська область,2018
с-ще Благовіщенське,с-ще Петровського,м.Херсон,Херсонська область,2016
м.Благовіщенське,м.Ульяновка,Благовіщенський район,Кіровоградська область,2016
с-ще Благодарівка,с-ще Комсомольське,Миколаївський район,Миколаївська область,2016
смт Благодатне,смт Войкове,м.Харцизьк,Донецька область,2016
смт Благодатне,смт Жовтневе,м.Нововолинськ,Волинська область,2016
с.Благодатне,с.Комсомольське,Вітовський район,Миколаївська область,2016
с.Благодатне,с.Чапаєвка,Токмацький район,Запорізька область,2016
с.Благодатне,с.Кірове,Роздільнянський район,Одеська область,2016
с.Благодатне,с.Чапаєвка,Золотоніський район,Черкаська область,2016
с.Благодатне,с.Петрівське,Білозерський район,Херсонська область,2016
с.Благодатне,с.Жовтневе,Чаплинський район,Херсонська область,2016
с.Благодатне,с.Артемівка,Харківський район,Харківська область,2016
с.Благодатне,с.Куйбишеве,Бобринецький район,Кіровоградська область,2016
с-ще Благодатне,с-ще Радгоспне,Скадовський район,Херсонська область,2016
с.Благодатне,с.Чапаєвка,Широківський район,Дніпропетровська область,2016
с-ще Благодатне,с-ще Октябр,Великоновосілківський район,Донецька область,2016
с.Богданівка,с.Фрунзе,Бобринецький район,Кіровоградська область,2016
с.Богданівка,с.Ленінське,Драбівський район,Черкаська область,2016
с.Богданівка,с.Ленінське,Солонянський район,Дніпропетровська область,2016
с.Богданівське,с.Жовтневе,Дворічанський район,Харківська область,2016
с.Богинівка,с.Брагинівка,Петропавлівський район,Дніпропетровська область,2016
с.Боголюбівка,с.Жовтневе,Ізюмський район,Харківська область,2016
смт Божедарівка,смт Щорськ,Криничанський район,Дніпропетровська область,2016
с.Божок,с.Червоний Ранок,Кролевецький район,Сумська область,2016
смт Бойківське,смт Тельманове,Бойківський район,Донецька область,2016
с.Бокове,с.Кірове,Долинський район,Кіровоградська область,2016
м.Боково-Хрустальне,м.Вахрушеве,м.Хрустальний,Луганська область,2016
с.Болгарка,с.Коларівка,Приморський район,Запорізька область,2016
с.Болотишине,с.Радянське,Білопільський район,Сумська область,2016
с.Борок,с.Бірки,Сокальський район,Львівська область,2019
с.Боярщина,с.Пролетарське,Ічнянський район,Чернігівська область,2016
с.Братське,с.Індустріальне,Голопристанський район,Херсонська область,2016
с.Брониви,с.Улянівське,Семенівський район,Чернігівська область,2016
с.Бубельня,с.Жовтневе,Монастирищенський район,Черкаська область,2016
с.Бугаївка,с.Революційне,Вовчанський район,Харківська область,2016
с-ще Бузова,с-ще Комсомольське,Краснокутський район,Харківська область,2016
с.Бузькі Пороги,с.Куйбишевка,Доманівський район,Миколаївська область,2016
с.Букачі,с.Леніна,Іванівський район,Одеська область,2016
с.Бурківка,с.Червоний Довжик,Корюківський район,Чернігівська область,2016
м.Бунге,м.Юнокомунарівськ,м.Єнакієве,Донецька область,2016
смт Буран,смт Енгельсове,м.Сорокине,Луганська область,2016
с.Бутівці,с.Петрівське,Волочиський район,Хмельницька область,2016
с.Буци,с.Жовтневе,Ширяївський район,Одеська область,2016
с.Буцинь,с.Буцин,Старовижівський район,Волинська область,2017
с.Вакулове,с.Жовтневе,Софіївський район,Дніпропетровська область,2016
смт Вальянівське,смт Ленінське,м.Довжанськ,Луганська область,2016
м.Вараш,м.Кузнецовськ,м.Вараш,Рівненська область,2016
с.Варжинка,с.Ленінка,Жмеринський район,Вінницька область,2016
с.Василів Хутір,с.Соцзмагання,м.Чугуїв,Харківська область,2016
с.Василівка,с.Володимирівка,Великописарівський район,Сумська область,2016
смт Ведмеже,смт Володарськ,м.Довжанськ,Луганська область,2016
с.Велика Солона,с.Куйбишевка,Єланецький район,Миколаївська область,2016
с.Великий Буялик,с.Благоєве,Іванівський район,Одеська область,2016
с.Великі Пріцьки,с.Великі Прицьки,Кагарлицький район,Київська область,2017
с.Велятино,с.Велятин,Хустський район,Закарпатська область,2018
с.Вербки-Осокорівка,с.Петрівське,Синельниківський район,Дніпропетровська область,2016
с.Вербове,с.Карла Маркса,Носівський район,Чернігівська область,2016
с.Вербове,с.Жовтневе,Вільнянський район,Запорізька область,2016
с-ще Верезамське,с-ще Кірове,Старобешівський район,Донецька область,2016
с.Вертеча,с.Незаможне,Ріпкинський район,Чернігівська область,2016
с.Верхньоєланчик,с.Ленінське,Амвросіївський район,Донецька область,2016
с-ще Верхньоосикове,с-ще Володарського,Амвросіївський район,Донецька область,2016
с.Верхньошироківське,с.Октябр,Новоазовський район,Донецька область,2016
с.Верхове,с.Жовтневе,Близнюківський район,Харківська область,2016
с.Верхокам'янка,с.Воровське,Старобешівський район,Донецька область,2016
с-ще Вершинне,с-ще Радгоспне,П'ятихатський район,Дніпропетровська область,2016
с.Веселе,с.Радсело,Новомосковський район,Дніпропетровська область,2016
