eoname,EDRPOU,KOATUU_2020
Авторська О.А.Захаренка середня загальноосвітня школа І-ІІІ ступенів с. Сахнівка Корсунь-Шевченківської районної ради Черкаської області,33521702,"['7122585511', '7122585512']"
"Бандурський навчально-виховний комплекс ""дошкільний навчальний заклад-загальноосвітній навчальний заклад І-ІІІ ступенів"" Первомайської районної ради Миколаївської області",20904554,"['4825485104', '4825487602']"
Барвінківський професійний аграрний ліцей,02547978,"['6320410100', '6310138500']"
Бахмацька загальноосвітня школа I-III ступенів № 2 Бахмацької районної ради Чернігівської області,33392518,"['7420380501', '7420310100']"
Бахмутський коледж транспортної інфраструктури,01116199,"['1410300000', '1210137800']"
Бериславський фаховий педагогічний коледж імені В.Ф. Беньковського Херсонського державного університету,43347791,"['6520610100', '2610100000']"
Бобрицька загальноосвітня школа I-III ступенів №1 Любашівського району,34029661,"['5123380604', '5123380601']"
Великоанадольський лісотехнічний фаховий коледж імені Віктора Єгоровича фон Граффа,00993923,"['7310100000', '1421556500']"
"Великодолинський навчально-виховний комплекс ""Загальноосвітня школа I-III ступенів-ліцей"" Овідіопольського району Одеської області",34312009,"['5123755300', '5123755100']"
Великоновосілківський професійний ліцей,05536359,"['1210200000', '1421255100']"
Войнашівська загальноосвітня школа I-III ступенів Барської районної ради Вінницької області,13326973,"['0520280601', '0520280603']"
"Відокремлений підрозділ ""Коледж Харківського економіко-правового університету у формі товариства з обмеженою відповідальністю""",39825399,"['6310136900', '6310138500']"
"Відокремлений підрозділ ""Об’єднане вище професійно-технічне училище сфери послуг Національного університету ""Одеська юридична академія""",40572551,"['5110137500', '5110137300']"
"Відокремлений структурний підрозділ ""Бердянський фаховий коледж Таврійського державного агротехнологічного університету імені Дмитра Моторного""",33351403,"['2310136300', '2310400000']"
"Відокремлений структурний підрозділ ""Василівський фаховий коледж Таврійського державного агротехнологічного університету імені Дмитра Моторного""",34524531,"['2310136300', '2320910100']"
"Відокремлений структурний підрозділ ""Економіко-технологічний фаховий коледж Херсонського національного технічного університету""",04606633,"['6810100000', '6510136300']"
"Відокремлений структурний підрозділ ""Костянтинівський індустріальний фаховий коледж Державного вищого навчального закладу ""Донецький національний технічний університет""",36512800,"['1412600000', '0710100000']"
"Відокремлений структурний підрозділ ""Кропивницький інженерний фаховий коледж Центральноукраїнського національного технічного університету""",33083309,"['3510136300', '3510136600']"
"Відокремлений структурний підрозділ ""Маріупольський політехнічний фаховий коледж Державного вищого навчального закладу ""Приазовський державний технічний університет""",00193559,"['1210136900', '1412336900']"
"Відокремлений структурний підрозділ ""Маріупольський фаховий коледж Донецького національного університету економіки і торгівлі імені Михайла Туган-Барановського""",01566028,"['1211036300', '1412336300']"
"Відокремлений структурний підрозділ ""Морський фаховий коледж Херсонської державної морської академії""",37839950,"['5110137500', '6510136900']"
"Відокремлений структурний підрозділ ""Ногайський фаховий коледж Таврійського державного агротехнологічного університету імені Дмитра Моторного""",35238560,"['2310136300', '2324810100']"
"Відокремлений структурний підрозділ ""Оріхівський фаховий коледж Таврійського державного агротехнологічного університету імені Дмитра Моторного""",39186862,"['2310136300', '2323910100']"
"Відокремлений структурний підрозділ ""Сєвєродонецький політехнічний фаховий коледж Східноукраїнського національного університету імені Володимира Даля""",00208736,"['1210136900', '4412900000']"
"Відокремлений структурний підрозділ ""Херсонський гідрометеорологічний фаховий коледж Одеського державного екологічного університету""",02572226,"['5110136900', '6510136900']"
Відокремлений структурний підрозділ Житомирський технологічний фаховий коледж Київського національного університету будівництва і архітектури,39891833,"['1810136600', '1810136300']"
Відокремлений структурний підрозділ Київський індустріальний фаховий коледж Київського національного університету будівництва і архітектури,39867890,"['8039100000', '8038900000']"
Вільнянська загальноосвітня школа І-ІІІ ступенів,20259935,"['1221881301', '1220387703']"
Генічеський фаховий коледж Херсонського державного університету,43308024,"['6522110100', '2610100000']"
Голосківська загальноосвітня школа I-III ступенів Кривоозерської районної ради Миколаївської області,26108404,"['4823983103', '4823983101']"
Городищенська загальноосвітня школа I-III ступенів Біловодської районної ради Луганської області,33452131,"['4420655106', '4420655100']"
"ДВНЗ ""Одеський коледж економіки, права та готельно-ресторанного бізнесу""",01566241,"['5110137500', '5110137300']"
"ДНЗ ""Одеський центр професійно-технічної освіти""",05537377,"['5123755100', '5110137600']"
"ДНЗ ""Теофіпольський професійний аграрно-промисловий ліцей""",36379222,"['6824785002', '6824755100']"
"Державний вищий навчальний заклад ""Слов'янський коледж транспортної інфраструктури""",01116182,"['1210136900', '1414100000']"
"Державний навчальний заклад ""Ізюмський регіональний центр професійної освіти""",02547837,"['6310136600', '6310400000']"
"Державний навчальний заклад ""Бердянський центр професійно-технічної освіти""",02544017,"['2310137500', '2310400000']"
"Державний навчальний заклад ""Дніпрорудненський професійний ліцей""",02543845,"['2310137500', '2320910400']"
"Державний навчальний заклад ""Мелітопольський професійний аграрний ліцей""",02544098,"['2310137300', '2310700000']"
"Державний професійно-технічний навчальний заклад ""Новокаховське вище професійне училище""",02548328,"['6510700000', '2625810100']"
Дніпрорудненський індустріальний коледж,00193594,"['2320910400', '2310137200']"
Донбаський державний коледж технологій та управління,00173462,"['1210436600', '1411200000']"
Дубенська районна вечірня школа ІІІ ступеня Дубенської районної ради Рівненської області,22562997,"['5621684201', '5621681201']"
"Економіко-правничий фаховий коледж ТОВ ""Бердянський університет менеджменту і бізнесу""",40198766,"['2310400000', '8038600000']"
Елітнянська загальноосвітня школа I-III ступенів Харківської районної ради Харківської області,25174534,"['6325180504', '6325157312']"
Житомирський торговельно-економічний коледж Київського національного торговельно-економічного університету,38343774,"['1810136600', '1810136300']"
Загальноосвітня школа І-ІІІ ступенів с.Балабанівка,26142200,"['0523155100', '0523180401']"
Загальноосвітня школа І-ІІІ ступенів № 22 Кіровоградської міської ради Кіровоградської області,31975512,"['3510136300', '3510136600']"
Загальноосвітня школа І-ІІІ ступенів № 30 Кіровоградської міської ради Кіровоградської області,31844901,"['3510136300', '3510136600']"
Загальноосвітній навчальний заклад І-ІІІ ступенів № 16 Олександрійської міської ради,30282217,"['3510345600', '3510300000']"
Золотівський професійний ліцей,02541208,"['1212400000', '4423810800']"
Караванська загальноосвітня школа I-III ступенів Люботинської міської ради Харківської області,24334349,"['6311200000', '6311290003']"
Каховський агротехнологічний фаховий коледж,05453568,"['6523582501', '0521210100']"
"Коледж Мелітопольського інституту державного та муніципального управління ""Класичного приватного університету""",40200502,"['2310136300', '2310700000']"
Коледж Миколаївського національного університету імені В. О. Сухомлинського,36578573,"['4810137200', '4810136300']"
"Комунальний заклад ""Бердянський медичний фаховий коледж"" Запорізької обласної ради",02011315,"['2310136700', '2310400000']"
"Комунальний заклад ""Галицівський заклад загальної середньої освіти І-ІІІ ступенів"" Селятинської сільської ради",21447751,"['7323584502', '7323584501']"
"Комунальний заклад ""Житомирський обласний ліцей-інтернат для обдарований дітей"" Житомирської обласної ради",05396422,"['1810136600', '1810136300']"
"Комунальний заклад ""Маріупольська спеціалізована школа з поглибленим вивченням новогрецької мови I-III ступенів №46 Маріупольської міської ради Донецької області""",30322280,"['1412345600', '1412336600']"
