eoname,KOATUU_2020,KOATUU_2020_reg,year,id,EDRPOU
Вінницький коледж менеджменту,0510100000,05,"[2018, 2019, 2020]",вницькийколеджменеджмент,38717521
"Жмеринська філія ""Вінницький коледж менеджменту""",0510300000,05,"[2018, 2019, 2020]",жмеринськафлявницькийколеджменеджмент,38717521
"Жмеринська філія ""Вінницький фаховий коледж менеджменту""",0510300000,05,"[2021, 2022]",жмеринськафлявницькийколеджменеджмент,38717521
"Жмеринська філія товариства з обмеженою відповідальністю ""Вінницький коледж менеджменту""",0510300000,05,[2023],жмеринськафлятовариствазобмеженоювдповдальнстювницькийколеджменеджмент,38717521
"Відокремлений структурний підрозділ ""Ладижинський фаховий коледж Вінницького національного аграрного університету""",0510600000,05,"[2021, 2022]",ладижинськийколеджвницькогонацональногоаграрногоунверситет,00727713
Відокремлений структурний підрозділ «Ладижинський фаховий коледж Вінницького національного аграрного університету»,0510600000,05,[2023],ладижинськийколеджвницькогонацональногоаграрногоунверситет,00727713
Ладижинський коледж Вінницького національного аграрного університету,0510600000,05,"[2018, 2019, 2020]",ладижинськийколеджвницькогонацональногоаграрногоунверситет,00727713
"Заклад ""Верхівська загальноосвітня школа I-III ступенів""",0520280401,05,"[2016, 2017]",закладверхвськазагальноосвтняшкола2ступен,26220512
Бершадський заклад загальної середньої освіти I-III ступенів №2 Гайсинського району Вінницької області,0520410100,05,[2022],бершадськийзакладзагальнасередньаосвти2ступ2вницькаобл,00727713
Стрижавська середня загальноосвітня школа І-ІІІ ступенів,0520655900,05,[2016],стрижавськасереднязагальноосвтняшкола2ступен,25667840
"Іванівська філія КОМУНАЛЬНОГО ЗАКЛАДУ ""ЛУКА-МЕЛЕШКІВСЬКИЙ ЛІЦЕЙ ЛУКА-МЕЛЕШКІВСЬКОЇ СІЛЬСЬКОЇ РАДИ ВІННИЦЬКОЇ ОБЛАСТІ""",0520682003,05,[2023],ванвськафлялукамелешквськийлцейлукамелешквськавницькаобл,26242717
"КОМУНАЛЬНИЙ ЗАКЛАД ""ЛУКА-МЕЛЕШКІВСЬКИЙ ЛІЦЕЙ ЛУКА-МЕЛЕШКІВСЬКОЇ СІЛЬСЬКОЇ РАДИ ВІННИЦЬКОЇ ОБЛАСТІ""",0520682803,05,[2023],лукамелешквськийлцейлукамелешквськавницькаобл,26242717
"Комунальний заклад ""Заклад загальної середньої освіти - ліцей Лука-Мелешківської сільської ради""",0520682803,05,"[2020, 2021, 2022]",закладзагальнасередньаосвтилцейлукамелешквськао,26242717
Лука-Мелешківська загальноосвітня школа I-III ступенів,0520682803,05,"[2016, 2017, 2018]",лукамелешквськазагальноосвтняшкола2ступен,26242717
Лука-Мелешківська загальноосвітня школа I-III ступенів Вінницького району Вінницької області,0520682803,05,[2019],лукамелешквськазагальноосвтняшкола2ступвницькаобл,26242717
Заклад загальної середньої освіти І-ІІІ ступенів №1 м. Гайсин Гайсинської міської ради,0520810100,05,[2022],закладзагальнасередньаосвти2ступ1мгайсингайсинськао,21726853
Навчально-виховний комплекс: середня загальноосвітня школа I-III ступенів - гімназія м.Гайсин,0520810100,05,[2019],навчальновиховнийкомплекссереднязагальноосвтняшкола2ступгмназямгайси,21726853
Навчально-виховний комплекс: середня загальноосвітня школа I-III ступенів - гімназія м.Гайсин Вінницької області,0520810100,05,"[2020, 2021]",навчальновиховнийкомплекссереднязагальноосвтняшкола2ступгмназямгайсинвницькаобл,21726853
Навчально-виховний комплекс: середня загальноосвітня школа I-III ступенів - гімназія м.Гайсина,0520810100,05,"[2016, 2017, 2018]",навчальновиховнийкомплекссереднязагальноосвтняшкола2ступгмназямгайсин,21726853
Навчально-виховний комплекс: середня загальноосвітня школа I-III ступенів -ліцей м. Гайсин,0520810100,05,"[2016, 2017, 2018, 2019, 2020, 2021]",навчальновиховнийкомплекссереднязагальноосвтняшкола2ступлцеймгайси,21726853
заклад загальної середньої освіти I-III ступенів №1 м. Гайсин Гайсинської міської ради,0520810100,05,[2023],закладзагальнасередньаосвти2ступ1мгайсингайсинськао,21726853
Мартинівська загальноосвітня школа I-ІII ступенів,0521080309,05,"[2018, 2019]",мартинвськазагальноосвтняшкола2ступен,23545966
Мартинівський заклад загальної середньої освіти I-ІII ступенів,0521080309,05,[2022],мартинвськийзакладзагальнасередньаосвти2ступен,23545966
Чернятинська загальноосвітня школа I-III ступенів,0521085213,05,"[2018, 2019, 2020, 2021]",чернятинськазагальноосвтняшкола2ступен,26242580
Чернятинська загальноосвітня школа I-ІІ-III ступенів,0521085213,05,"[2016, 2017]",чернятинськазагальноосвтняшкола22ступен,26242580
Чернятинський заклад загальної середньої освіти I-III ступенів,0521085213,05,[2022],чернятинськийзакладзагальнасередньаосвти2ступен,26242580
Іллінецька загальноосвітня школа I-III ступенів №1 Іллінецької міської ради Вінницької області,0521210100,05,"[2017, 2018, 2019, 2020, 2021, 2022]",ллнецьказагальноосвтняшкола2ступ1ллнецькавницькаобл,13307208
Іллінецька загальноосвітня школа I-III ступенів №1 Іллінецької районної ради,0521210100,05,[2016],ллнецьказагальноосвтняшкола2ступ1ллнецькао,13307208
Іллінецький ліцей №1 Іллінецької міської ради Вінницької області,0521210100,05,[2023],ллнецькийлцей1ллнецькавницькаобл,13307208
Бабинська загальноосвітня школа I-III ступенів Іллінецької міської ради,0521280403,05,[2022],бабинськазагальноосвтняшкола2ступллнецькао,26241913
Бабинська загальноосвітня школа I-III ступенів Іллінецької районної ради,0521280403,05,"[2016, 2017, 2018, 2019, 2020, 2021]",бабинськазагальноосвтняшкола2ступллнецькао,26241913
Бабинський ліцей Іллінецької міської ради Вінницької області,0521280403,05,[2023],бабинськийлцейллнецькавницькаобл,26241913
Іллінецька загальноосвітня школа I-III ступенів Іллінецької міської ради,0521282603,05,[2022],ллнецьказагальноосвтняшкола2ступллнецькао,13307208
Іллінецька загальноосвітня школа I-III ступенів Іллінецької районної ради,0521282603,05,"[2016, 2017, 2018, 2019, 2020, 2021]",ллнецьказагальноосвтняшкола2ступллнецькао,13307208
Загальноосвітня школа I-III ступенів с. Дружелюбівка,0521610101,05,[2016],загальноосвтняшкола2ступсдружелюбвк,23062630
Загальноосвітня школа I-III ступенів с. Дружелюбівка Калинівський район Вінницька область,0521610101,05,"[2017, 2018, 2019, 2020, 2021]",загальноосвтняшкола2ступсдружелюбвкавницькаобл,23062630
Опорний заклад загальної середньої освіти-ліцей з дошкільним підрозділом с. Дружелюбівка Калинівської міської ради Вінницької області,0521610101,05,[2022],опорнийзакладзагальнасередньаосвтилцейздошкльнимпдроздломсдружелюбвкакалинвськавницькаобл,23062630
опорний заклад загальної середньої освіти-ліцей з дошкільним підрозділом с. Дружелюбівка Калинівської міської ради Вінницької області,0521610101,05,[2023],опорнийзакладзагальнасередньаосвтилцейздошкльнимпдроздломсдружелюбвкакалинвськавницькаобл,23062630
Загальноосвітня школа I-III ступенів №1 с.Іванів,0521682803,05,"[2016, 2017, 2018]",загальноосвтняшкола2ступ1сван,26286620
Загальноосвітня школа I-III ступенів №1 с.Іванів Іванівської сільської територіальної громади Калинівського району Вінницької області,0521682803,05,"[2019, 2020, 2021]",загальноосвтняшкола2ступ1сванвванвськавницькаобл,26286620
Ліцей с. Іванів Іванівської сільської ради Вінницької області,0521682803,05,[2022],лцейсванвванвськавницькаобл,26286620
ліцей с. Іванів Іванівської сільської ради Вінницької області,0521682803,05,[2023],лцейсванвванвськавницькаобл,26286620
Корделівська середня загальноосвітня школа I-III ступенів,0521683603,05,"[2016, 2017, 2018, 2019]",корделвськасереднязагальноосвтняшкола2ступен,26286620
Опорний заклад загальної середньої освіти I-III ступенів с. Корделівка Калинівського району Вінницької області,0521683603,05,[2021],опорнийзакладзагальнасередньаосвти2ступскорделвкавницькаобл,26286620
Чернятинська філія опорного закладу загальної середньої освіти-ліцею з дошкільним підрозділом с.Дружелюбівка Калинівської міської ради Вінницької області,0521685601,05,[2023],чернятинськафляопорногозакладузагальнасередньаосвтилцеюздошкльнимпдроздломсдружелюбвкакалинвськавницькаобл,23062630
Загальноосвітня школа I-III ступенів с.Павлівка,0521686103,05,"[2016, 2017]",загальноосвтняшкола2ступспавлвк,26323864
Загальноосвітня школа I-III ступенів №1 с. Пиків,0521686303,05,"[2016, 2017, 2018, 2019]",загальноосвтняшкола2ступ1спик,21728970
Загальноосвітня школа I-III ступенів №1 с. Пиків Калинівського району Вінницької області,0521686303,05,"[2020, 2021]",загальноосвтняшкола2ступ1спикввницькаобл,21728970
Загальноосвітня школа I-III ступенів №2 с.Пиків,0521686303,05,"[2016, 2017, 2018, 2019]",загальноосвтняшкола2ступ2спик,21728970
Ліцей №1 смт Крижопіль Крижопільської селищної ради,0521955100,05,[2023],лцей1смткрижоплькрижопльськао,20103727
Середня загальноосвітня школа І-ІІІ ступенів №1 ім Героя Радянського Союзу О.А.Бичковського смт Крижопіль Вінницька область,0521955100,05,"[2016, 2017, 2018, 2019, 2020, 2021, 2022]",середнязагальноосвтняшкола2ступ1мгероярадянськогосоюзуоабичковськогосмткрижопльвницькаобл,20103727
Крикливецька філія ліцею №1 смт Крижопіль Крижопільської селищної ради,0521984401,05,[2023],крикливецькафлялцею1смткрижоплькрижопльськао,20103727
Опорний заклад загальної середньої освіти І-ІІІ ступенів с. Багринівці Літинської селищної ради Вінницької області,0522480401,05,"[2022, 2023]",опорнийзакладзагальнасередньаосвти2ступсбагринвцлтинськавницькаобл,26244432
Опорний заклад середньої загальної освіти І-ІІІ ст. с. Багринівці Літинської районної ради,0522480401,05,"[2019, 2020, 2021]",опорнийзакладсередньазагальнаосвти2ступсбагринвцлтинськао,26244432
Середня загальноосвітня школа I-III ступенів с. Багринівці,0522480401,05,"[2016, 2017, 2018]",середнязагальноосвтняшкола2ступсбагринвц,26244432
Середня загальноосвітня школа I-III ступенів с. Вінниківці,0522481603,05,"[2016, 2017, 2018]",середнязагальноосвтняшкола2ступсвниквц,26244432
Козлівська середня загальноосвітня школа I-III ступенів Могилів-Подільського району Вінницької області,0522683201,05,"[2019, 2020, 2021]",козлвськасереднязагальноосвтняшкола2ступвницькаобл,20098567
"Навчально-виховний комплекс ""Загальноосвітній навчальний заклад - дошкільний навчальний заклад"" с. Конищів",0522883001,05,"[2016, 2017, 2018]",навчальновиховнийкомплексзагальноосвтнйнавчальнийзакладдошкльнийнавчальнийзакладсконищ,21724529
"Навчально-виховний комплекс ""Загальноосвітній навчальний заклад - дошкільний навчальний заклад"" с. Конищів Мурованокуриловецького району Вінницької області",0522883001,05,"[2019, 2020, 2021]",навчальновиховнийкомплексзагальноосвтнйнавчальнийзакладдошкльнийнавчальнийзакладсконищввницькаобл,21724529
ліцей с. Конищів Мурованокуриловецької селищної ради Вінницької області,0522883001,05,[2023],лцейсконищвмурованокуриловецькавницькаобл,21724529
"Навчально-виховний комплекс ""Загальноосвітній навчальний заклад - дошкільний навчальний заклад"" с. Котюжани",0522883301,05,"[2016, 2017, 2018]",навчальновиховнийкомплексзагальноосвтнйнавчальнийзакладдошкльнийнавчальнийзакладскотюжан,21724529
Брацлавська спеціалізована школа І-ІІІ ступенів Немирівського району Вінницької обласної Ради,0523055300,05,"[2020, 2021, 2022]",брацлавськаспецалзованашкола2ступвницькаобласнарад,20096812
Брацлавський агроекономічний коледж Вінницького національного аграрного університету,0523055300,05,[2018],брацлавськийагроекономчнийколеджвницькогонацональногоаграрногоунверситет,20096812
"Брацлавський навчально-виховний комплекс: дошкільний навчальний заклад, загальноосвітня школа-інтернат І-ІІІ ступенів - гімназія Вінницької обласної Ради",0523055300,05,"[2018, 2019]",брацлавськийнавчальновиховнийкомплексдошкльнийнавчальнийзакладзагальноосвтняшколантернат2ступгмназявницькаобласнарад,20096812
"Комунальний заклад ""Брацлавський навчально-виховний комплекс: дошкільний навчальний заклад, загальноосвітня школа-інтернат І-ІІІ ступенів - гімназія  Вінницької обласної Ради""",0523055300,05,[2017],брацлавськийнавчальновиховнийкомплексдошкльнийнавчальнийзакладзагальноосвтняшколантернат2ступгмназявницькаобласнарад,20096812
"Комунальний заклад ""Брацлавський навчально-виховний комплекс: дошкільний навчальний заклад, загальноосвітня школа-інтернат І-ІІІ ступенів - гімназія"" Вінницької обласної Ради",0523055300,05,[2016],брацлавськийнавчальновиховнийкомплексдошкльнийнавчальнийзакладзагальноосвтняшколантернат2ступгмназявницькаобласнарад,20096812
"Комунальний заклад ""Брацлавський спортивний ліцей"" Вінницької обласної Ради",0523055300,05,[2023],брацлавськийспортивнийлцейвницькаобласнарад,20096812
"Комунальний заклад ""Райгородська загальноосвітня школа I-III ступенів Райгородської сілької ради Немирівського району Вінницької області""",0523086401,05,"[2019, 2020, 2021]",райгородськазагальноосвтняшкола2ступрайгородськаслькавницькаобл,26228485
