eoname,link,edrpou
"Тарасівський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад"" Новгородківської районної ради",https://opendatabot.ua/c/33329179,33329179
"Великопільський навчально-виховний комплекс ""загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад"" Яворівської районної ради Львівської області",https://opendatabot.ua/c/22398776,22398776
Лоївська загальноосвітня школа І-ІІІ ступенів Надвірнянської районної ради,https://opendatabot.ua/c/20567335,20567335
"Комунальний заклад освіти ""Вечірня (змінна) середня загальноосвітня школа №38"" Дніпропетровської міської ради",https://opendatabot.ua/c/25725106,25725106
"Комунальний заклад ""Рішельєвський ліцей""",https://opendatabot.ua/c/20991369,20991369
Славутський обласний спеціалізований ліцей-інтернат поглибленої підготовки учнів в галузі науки,https://opendatabot.ua/c/23563740,23563740
Бенівська загальноосвітня школа І-ІІІ ступенів,https://opendatabot.ua/c/23596403,23596403
Теребовлянська №1 загальноосвітня школа І-ІІІ ступенів,https://opendatabot.ua/c/21163309,21163309
"Комунальний заклад освіти ""Навчально-виховний комплекс №51"" Дніпропетровської міської ради",https://opendatabot.ua/c/26236834,26236834
"Матусівський навчально-виховний комплекс ""Дошкільний навчальний заклад - загальноосвітня школа І-ІІІ ступенів №1"" Шполянської районної ради Черкаської області",https://opendatabot.ua/c/24355736,24355736
Монастирищенська спеціалізована школа І-ІІІ ступенів №5 Монастирищенської районної ради Черкаської області,https://opendatabot.ua/c/24415763,24415763
Михайлівська загальноосвітня школа І-ІІІ ступенів Новомосковської районної ради Дніпропетровської області,https://opendatabot.ua/c/26368387,26368387
Степанська загальноосвітня школа І-ІІІ ступенів Степанської селищної ради Сарненського району Рівненської області,https://opendatabot.ua/c/13982364,13982364
Загальноосвітня школа І-ІІІ ступенів № 1 м. Гайворон Кіровоградської області,https://opendatabot.ua/c/34085459,34085459
Пантазіївська загальноосвітня школа І-ІІІ ступенів Знам'янської районної ради,https://opendatabot.ua/c/33361495,33361495
"Львівська спеціалізована школа ""Надія"" з поглибленим вивченням предметів еколого-правового профілю",https://opendatabot.ua/c/26412763,26412763
"Заклад ""Навчально-виховний комплекс: загальноосвітня школа I-III ступенів - гімназія №30 ім.Тараса Шевченка Вінницької міської ради""",https://opendatabot.ua/c/20090459,20090459
Мелітопольська гімназія № 5 Мелітопольської міської ради Запорізької області,https://opendatabot.ua/c/25492624,25492624
Львівська спеціалізована середня загальноосвітня школа №2 І-ІІІ ступенів з поглибленим вивченням англійської мови,https://opendatabot.ua/c/20834090,20834090
"Немирівський навчально-виховний комплекс Загальноосвітня школа І-ІІІ ступенів №2 - ліцей"" Немирівської районної ради Вінницької області""",https://opendatabot.ua/c/23055972,23055972
"Усатівський навчально-виховний комплекс ""школа-гімназія"" ім.П.Д.Вернидуба Біляївського району",https://opendatabot.ua/c/34227254,34227254
Ходорівська загальноосвітня школа І-ІІІ ступенів №1 Жидачівського району Львівської області,https://opendatabot.ua/c/22351295,22351295
Дворічнокутянська загальноосвітня школа I-III ступенів Дергачівської районної ради Харківської області,https://opendatabot.ua/c/22661831,22661831
"Зазимський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад"" Броварського району Київської області",https://opendatabot.ua/c/25300648,25300648
Докучаєвська загальноосвітня школа І-ІІІ ступенів Устинівської районної державної адміністрації,https://opendatabot.ua/c/26505648,26505648
Лисівська загальноосвітня школа І-ІІІ ступенів Попільнянської районної ради Житомирської області,https://opendatabot.ua/c/22057383,22057383
Красненська загальноосвітня школа І-ІІІ ступенів №1 Буської районної ради Львівської області,https://opendatabot.ua/c/25227785,25227785
Тупичівська загальноосвітня школа I-III ступенів Городнянської районної ради Чернігівської області,https://opendatabot.ua/c/22817813,22817813
Павлівська загальноосвітня школа I-III ступенів Чаплинської районної ради Херсонської області,https://opendatabot.ua/c/24754519,24754519
"Колегіум-інтернат ""Знамення"" з поглибленим вивченням предметів духовно-просвітницького спрямування у с.Зарваниця Теребовлянського району",https://opendatabot.ua/c/34793525,34793525
"Комунальна установа ""Пологівська спеціалізована різнопрофільна школа І-ІІІ ступенів №2"" Пологівської районної ради Запорізької області",https://opendatabot.ua/c/26317935,26317935
Біловодська загальноосвітня школа I-III ступенів,https://opendatabot.ua/c/23999621,23999621
Козелецька загальноосвітня школа І-ІІІ ступенів №2 Козелецької районної ради Чернігівської області,https://opendatabot.ua/c/33439461,33439461
"Новоград-Волинський навчально-виховний комплекс ""Гімназія імені Лесі Українки - школа І ступеня"" Житомирської області",https://opendatabot.ua/c/36339698,36339698
"Одеський навчально-виховний комплекс ""Гармонія"" ""Загальноосвітня школа І-ІІ ступенів - гімназія №6"" Одеської міської ради Одеської області",https://opendatabot.ua/c/25914971,25914971
"Комунальний заклад освіти ""Навчально- виховний комплекс № 139 ""загальноосвітній навчальний заклад-центр творчості ""Дума"" Дніпропетровської міської ради",https://opendatabot.ua/c/24445669,24445669
"Навчально-виховний комплекс ""Вашківецька гімназія"" Вашківецької міської ради Вижницького району Чернівецької області",https://opendatabot.ua/c/21437528,21437528
Малоданилівський ліцей Дергачівської районної ради Харківської області,https://opendatabot.ua/c/22661943,22661943
Біляївська загальноосвітня школа №2 I-III ступенів Біляївського району,https://opendatabot.ua/c/26015393,26015393
Староолексинецька загальноосвітня школа І-ІІІ ступенів,https://opendatabot.ua/c/23591104,23591104
Стопчатівська загальноосвітня школа І-ІІІ ступенів Косівської районної ради Івано-Франківської області,https://opendatabot.ua/c/25655185,25655185
Полтавський міський багатопрофільний ліцей № 1 ім. І.П. Котляревського Полтавської міської ради Полтавської області,https://opendatabot.ua/c/22546780,22546780
"Комунальний заклад ""Михайлівська загальноосвітня школа I-III ступенів №3"" Михайлівської районної ради Запорізької області",https://opendatabot.ua/c/26316522,26316522
Богодухівський колегіум № 2 Богодухівської районної ради Харківської області,https://opendatabot.ua/c/25458604,25458604
"Сокальська гімназія імені Олега Романіва Сокальської районної ради Львівської області
",https://opendatabot.ua/c/23947073,23947073
Корсунь-Шевченківська загальноосвітня школа І-ІІІ ступенів №1 Корсунь-Шевченківської районної ради Черкаської області,https://opendatabot.ua/c/33460598,33460598
"Навчально-виховний комплекс ""Оженинська загальноосвітня школа І-ІІІ ступенів №2 - дошкільний навчальний заклад (дитячий садок)"" Острозької районної ради Рівненської області",https://opendatabot.ua/c/24174868,24174868
Менська загальноосвітня школа I-III ступенів ім. Т. Г. Шевченка Менської районної ради Чернігівської області,https://opendatabot.ua/c/33335643,33335643
"Комунальний заклад ""Петрівська спеціалізована школа № 2 І-ІІІ ступенів з поглибленим вивченням окремих предметів та курсів Станично-Луганського району Луганської області""",https://opendatabot.ua/c/34274278,34274278
Кирнасівська загальноосвітня школа I-III ступенів,https://opendatabot.ua/c/21723990,21723990
