eoname,KOATUU_2020,year,id,EDRPOU,KOATUU_2020_reg
"ВСП ""Технологічно-промисловий фаховий коледж Вінницького національного аграрного університету""",0510100000,[2022],вдокремленийструктурнийпдроздлтехнологчнопромисловийколеджвницькогонацональногоаграрногоунверситету,,05
Вище професійне училище №11 м. Вінниці,0510100000,"[2018, 2019, 2020, 2021, 2022]",вищепрофесйнеучилище11мвниц,,05
Вище художнє професійно-технічне училище №5 м. Вінниця,0510100000,"[2018, 2019, 2020, 2021, 2022]",вищехудожнєпрофесйнотехнчнеучилище5мвниця,,05
Відокремлений структурний підрозділ «Вінницький торговельно-економічний фаховий коледж Київського національного торговельно-економічного університету»,0510100000,[2022],вдокремленийструктурнийпдроздлвницькийторговельноекономчнийколеджкивськогонацональноготорговельноекономчногоунверситету,,05
"Відокремлений структурний підрозділ Вінницький фаховий коледж будівництва, архітектури та дизайну Київського національного університету будівництва і архітектури",0510100000,"[2021, 2022]",вдокремленийструктурнийпдроздлвницькийколеджбудвництваархтектуритадизайнукивськогонацональногоунверситетубудвництваархтектури,,05
Вінницька Установа виконання покарань Управління Державного Департаменту України з питань виконання покарань у Вінницькій області (№1),0510100000,[2016],вницькаустановавиконаняпокараньуправлнядержавногодепартаментуукранизпитаньвиконаняпокараньувницькйобл1,,05
Вінницька виправна колонія Управління Державного Департаменту України з питань виконання покарань у Вінницькій області (№86),0510100000,[2016],вницькавиправнаколоняуправлнядержавногодепартаментуукранизпитаньвиконаняпокараньувницькйобл86,,05
Вінницьке відділення Ірпінського державного коледжу економіки та права,0510100000,"[2019, 2020]",вницькевддленярпнськогодержавногоколеджуекономкитаправа,,05
Вінницьке відділення Ірпінського державного коледжу економіки та права Університету державної фіскальної служби України,0510100000,[2018],вницькевддленярпнськогодержавногоколеджуекономкитаправаунверситетудержавнофскальнослужбиукрани,,05
Вінницьке училище культури і мистецтв ім. М.Д. Леонтовича,0510100000,[2018],вницькеучилищекультуримистецтвменмдлеонтовича,,05
Вінницький коледж будівництва і архітектури Київського національного університету будівництва та архітектури,0510100000,"[2018, 2019, 2020]",вницькийколеджбудвництваархтектурикивськогонацональногоунверситетубудвництватаархтектури,,05
Вінницький коледж менеджменту,0510100000,"[2018, 2019, 2020]",вницькийколеджменеджменту,,05
Вінницький медичний коледж ім. акад. Д.К. Заболотного,0510100000,"[2018, 2019, 2020, 2021]",вницькиймедичнийколеджменакаддкзаболотного,,05
Вінницький медичний фаховий коледж ім. акад. Д.К. Заболотного,0510100000,[2022],вницькиймедичнийколеджменакаддкзаболотного,,05
Вінницький обласний комунальний гуманітарно-педагогічний коледж,0510100000,"[2018, 2019]",вницькийобласнийкомунальнийгумантарнопедагогчнийколедж,,05
Вінницький торговельно-економічний коледж Київського національного торговельно-економічного університету,0510100000,"[2018, 2019, 2020, 2021]",вницькийторговельноекономчнийколеджкивськогонацональноготорговельноекономчногоунверситету,,05
Вінницький транспортний коледж,0510100000,"[2018, 2019, 2020, 2021]",вницькийтранспортнийколедж,,05
Вінницький транспортний фаховий коледж,0510100000,[2022],вницькийтранспортнийколедж,,05
Вінницький фаховий коледж мистецтв ім. М. Д. Леонтовича,0510100000,"[2021, 2022]",вницькийколеджмистецтвменмдлеонтовича,,05
"ДНЗ ""Вінницький центр професійно-технічної освіти переробної промисловості""",0510100000,"[2018, 2019, 2020, 2021, 2022]",днзвницькийцентрпрофесйнотехнчноосвтипереробнопромисловост,,05
"ДНЗ ""Центр професійно-технічної освіти торгівлі та харчових технологій""",0510100000,[2018],днзцентрпрофесйнотехнчноосвтиторгвлтахарчовихтехнологй,,05
"ДНЗ ""Центр професійно-технічної освіти №1 м. Вінниці""",0510100000,"[2018, 2019, 2020, 2021, 2022]",днзцентрпрофесйнотехнчноосвти1мвниц,,05
"ДПТНЗ ""Вінницьке вище професійне училище сфери послуг""",0510100000,"[2018, 2019, 2020, 2021, 2022]",дптнзвницькевищепрофесйнеучилищесферипослуг,,05
"ДПТНЗ ""Вінницьке міжрегіональне вище професійне училище""",0510100000,"[2018, 2019, 2020, 2021, 2022]",дптнзвницькемжрегональневищепрофесйнеучилище,,05
"Державний навчальний заклад ""Вище професійне училище №7 м. Вінниці""",0510100000,"[2018, 2019, 2020, 2021, 2022]",державнийнавчальнийзакладвищепрофесйнеучилище7мвниц,,05
"Державний навчальний заклад ""Вінницький центр професійно-технічної освіти технологій та дизайну""",0510100000,"[2019, 2020, 2021, 2022]",державнийнавчальнийзакладвницькийцентрпрофесйнотехнчноосвтитехнологйтадизайну,,05
"Державний навчальний зкалад ""Вінницький центр професійно-технічної освіти технологій та дизайну""",0510100000,[2018],державнийнавчальнийзкаладвницькийцентрпрофесйнотехнчноосвтитехнологйтадизайну,,05
"Економіко-правовий коледж Приватного вищого навчального закладу ""Вінницький фінансово-економічний університет""",0510100000,"[2018, 2019, 2020]",економкоправовийколеджприватноговищогонавчальногозакладувницькийфнансовоекономчнийунверситет,,05
"Заклад "" Загальноосвітня школа I-III ступенів №12 Вінницької міської ради""",0510100000,[2016],закладзагальноосвтняшкола3ступ12вницькомськоради,,05
"Заклад "" Загальноосвітня школа I-III ступенів №13 Вінницької міської ради""",0510100000,[2016],закладзагальноосвтняшкола3ступ13вницькомськоради,,05
"Заклад "" Загальноосвітня школа I-III ступенів №15 Вінницької міської ради",0510100000,[2016],закладзагальноосвтняшкола3ступ15вницькомськоради,,05
"Заклад ""Вечірня загальноосвітня школа ІI-III ступенів №24 Вінницької міської ради""",0510100000,[2016],закладвечрнязагальноосвтняшкола3ступ24вницькомськоради,,05
"Заклад ""Вінницький технічний ліцей""",0510100000,[2016],закладвницькийтехнчнийлцей,,05
"Заклад ""Загальноосвітня школа I-III ступенів із спеціалізованими класами з поглибленим вивченням математики і фізики №34 Вінницької міської ради""",0510100000,[2016],закладзагальноосвтняшкола3ступзспецалзованимикласамизпоглибленимвивченямматематикифзики34вницькомськоради,,05
"Заклад ""Загальноосвітня школа I-III ступенів №16 Вінницької міської ради""",0510100000,[2016],закладзагальноосвтняшкола3ступ16вницькомськоради,,05
"Заклад ""Загальноосвітня школа I-III ступенів №19 Вінницької міської ради""",0510100000,[2016],закладзагальноосвтняшкола3ступ19вницькомськоради,,05
"Заклад ""Загальноосвітня школа I-III ступенів №22 Вінницької міської ради""",0510100000,[2016],закладзагальноосвтняшкола3ступ22вницькомськоради,,05
"Заклад ""Загальноосвітня школа I-III ступенів №27 Вінницької міської ради""",0510100000,[2016],закладзагальноосвтняшкола3ступ27вницькомськоради,,05
"Заклад ""Загальноосвітня школа I-III ступенів №32 Вінницької міської ради""",0510100000,[2016],закладзагальноосвтняшкола3ступ32вницькомськоради,,05
"Заклад ""Загальноосвітня школа I-III ступенів №33 Вінницької міської ради""",0510100000,[2016],закладзагальноосвтняшкола3ступ33вницькомськоради,,05
"Заклад ""Загальноосвітня школа I-III ступенів №36 Вінницької міської ради""",0510100000,[2016],закладзагальноосвтняшкола3ступ36вницькомськоради,,05
"Заклад ""Загальноосвітня школа I-III ступенів №9 Вінницької міської ради""",0510100000,[2016],закладзагальноосвтняшкола3ступ9вницькомськоради,,05
"Заклад ""Навчально-виховний комплекс: загальноосвітня школа I-III ступенів - гуманітарно-естетичний колегіум №29 Вінницької міської ради""",0510100000,[2016],закладнавчальновиховнийкомплексзагальноосвтняшкола3ступгумантарноестетичнийколегум29вницькомськоради,,05
"Заклад ""Навчально-виховний комплекс: загальноосвітня школа I-III ступенів - гімназія №2 Вінницької міської ради""",0510100000,[2016],закладнавчальновиховнийкомплексзагальноосвтняшкола3ступгмназя2вницькомськоради,,05
"Заклад ""Навчально-виховний комплекс: загальноосвітня школа I-III ступенів - гімназія №6 Вінницької міської ради""",0510100000,[2016],закладнавчальновиховнийкомплексзагальноосвтняшкола3ступгмназя6вницькомськоради,,05
"Комунальний заклад ""Вінницький гуманітарний ліцей № 1 ім. М. І. Пирогова""",0510100000,[2022],вницькийгумантарнийлцей1менмпирогова,,05
"Комунальний заклад ""Загальноосвітня школа ІI-III ступенів №31 Вінницької міської ради""",0510100000,"[2017, 2018, 2019, 2020, 2021]",загальноосвтняшкола3ступ31вницькомськоради,,05
"Комунальний заклад вищої освіти ""Вінницький гуманітарно - педагогічний коледж""",0510100000,"[2020, 2021, 2022]",вищоосвтивницькийгумантарнопедагогчнийколедж,,05
Обласний спортивно-гуманітарний ліцей-інтернат для здібної та обдарованої молоді Вінницького обласного комунального гуманітарно-педагогічного коледжу,0510100000,[2017],обласнийспортивногумантарнийлцейнтернатдляздбнотаобдарованомолодвницькогообласногокомунальногогумантарнопедагогчногоколеджу,,05
Спортивно-гуманітарний ліцей-інтернат Вінницького обласного комунального гуманітарно-педагогічного коледжу,0510100000,"[2018, 2019]",спортивногумантарнийлцейнтернатвницькогообласногокомунальногогумантарнопедагогчногоколеджу,,05
"Структурний підрозділ ""Вінницький коледж конструювання одягу"" Приватного вищого навчального закладу ""Вінницький інститут конструювання одягу і підприємництва""",0510100000,"[2019, 2020]",структурнийпдроздлвницькийколеджконструюваняодягуприватноговищогонавчальногозакладувницькийнститутконструюваняодягупдприємництва,,05
Технологічно-промисловий коледж Вінницького національного аграрного університету,0510100000,"[2018, 2019, 2020, 2021]",технологчнопромисловийколеджвницькогонацональногоаграрногоунверситету,,05
"ДПТНЗ ""Жмеринське вище професійне училище""",0510300000,"[2018, 2019, 2020, 2021, 2022]",дптнзжмеринськевищепрофесйнеучилище,,05
"Жмеринська філія ""Вінницький коледж менеджменту""",0510300000,"[2018, 2019, 2020]",жмеринськафлявницькийколеджменеджменту,,05
"Жмеринська філія ""Вінницький фаховий коледж менеджменту""",0510300000,"[2021, 2022]",жмеринськафлявницькийколеджменеджменту,,05
Загальноосвітня школа I-III ступенів №1 комунальної власності територіальної громади м.Жмеринки,0510300000,"[2016, 2017, 2018, 2019]",загальноосвтняшкола3ступ1комунальновласносттериторальногромадимжмеринки,,05
Загальноосвітня школа I-III ступенів №1 комунальної власності територіальної громади м.Жмеринки Вінницької області,0510300000,[2020],загальноосвтняшкола3ступ1комунальновласносттериторальногромадимжмеринкивницькообл,,05
Загальноосвітня школа I-III ступенів №3 комунальної власності територіальної громади м.Жмеринки,0510300000,"[2016, 2017, 2018, 2019]",загальноосвтняшкола3ступ3комунальновласносттериторальногромадимжмеринки,,05
Загальноосвітня школа I-III ступенів №4 комунальної власності територіальної громади м.Жмеринки Вінницької області,0510300000,"[2016, 2017, 2018, 2019, 2020]",загальноосвтняшкола3ступ4комунальновласносттериторальногромадимжмеринкивницькообл,,05
Загальноосвітня школа I-III ступенів №6 комунальної власності територіальної громади м.Жмеринки,0510300000,"[2016, 2017, 2018, 2019]",загальноосвтняшкола3ступ6комунальновласносттериторальногромадимжмеринки,,05
Заклад загальної середньої освіти I-III ступенів №4 комунальної власності Жмеринської міської об'єднаної територіальної громади Вінницької області,0510300000,"[2021, 2022]",закладзагальносередньоосвти3ступ4комунальновласностжмеринськомськообєднанотериторальногромадивницькообл,,05
